,基金代码,基金简称,2021-12-06-单位净值,2021-12-06-累计净值,2021-12-03-单位净值,2021-12-03-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
148,160627,鹏华策略优选灵活配置混合,2.9040,2.4740,2.8860,2.46,0.0180,0.62,开放申购,开放赎回,0.15%
149,310398,申万菱信沪深300价值指数A,1.4717,1.8413,1.4626,1.8322,0.0091,0.62,开放申购,开放赎回,0.12%
150,008283,易方达金融行业股票,1.2910,1.2910,1.2831,1.2831,0.0079,0.62,开放申购,开放赎回,0.15%
151,007800,申万菱信沪深300价值指数C,1.1466,1.1466,1.1395,1.1395,0.0071,0.62,开放申购,开放赎回,0.00%
152,000778,鹏华先进制造股票,3.3450,3.3450,3.3250,3.3250,0.02,0.60,开放申购,开放赎回,0.15%
153,006652,富国金融地产行业混合A,1.3676,1.3676,1.3594,1.3594,0.0082,0.60,开放申购,开放赎回,0.15%
154,005851,财通新视野灵活配置混合A,1.7149,1.7149,1.7048,1.7048,0.0101,0.59,开放申购,开放赎回,0.15%
155,005959,财通新视野灵活配置混合C,1.6681,1.6681,1.6583,1.6583,0.0098,0.59,开放申购,开放赎回,0.00%
156,011124,富国金融地产行业混合C,1.36,1.36,1.3520,1.3520,0.0080,0.59,开放申购,开放赎回,0.00%
157,240016,华宝上证180价值联接,2.24,2.27,2.2270,2.2570,0.0130,0.58,开放申购,开放赎回,0.15%
158,020005,国泰金马稳健混合,1.38,7.9030,1.3720,7.8710,0.0080,0.58,开放申购,开放赎回,0.15%
159,008580,九泰久嘉纯债3个月A,1.1506,1.1506,1.1440,1.1440,0.0066,0.58,暂停申购,暂停赎回,0.08%
160,008581,九泰久嘉纯债3个月C,1.1443,1.1443,1.1377,1.1377,0.0066,0.58,暂停申购,暂停赎回,0.00%
161,013074,银河沪深300价值指数C,1.0490,1.0490,1.0430,1.0430,0.0060,0.58,开放申购,开放赎回,0.00%
162,001583,安信新常态股票A,1.4730,1.8046,1.4646,1.7962,0.0084,0.57,开放申购,开放赎回,0.15%
163,011726,安信新常态股票C,1.4690,1.4690,1.4607,1.4607,0.0083,0.57,开放申购,开放赎回,0.00%
164,001604,浙商汇金转型升级灵活配置混合,1.2440,1.5270,1.2370,1.52,0.0070,0.57,开放申购,开放赎回,0.15%
165,007024,中银证券安泽债券C,1.0675,1.0895,1.0615,1.0835,0.0060,0.57,开放申购,开放赎回,0.00%
166,009499,景顺长城安鑫回报混合A,1.0580,1.0580,1.0520,1.0520,0.0060,0.57,开放申购,开放赎回,0.08%
167,501015,财通多策略升级混合(LOF),1.0530,1.0530,1.0470,1.0470,0.0060,0.57,开放申购,开放赎回,0.15%
168,009755,景顺长城安鑫回报混合C,1.0521,1.0521,1.0461,1.0461,0.0060,0.57,开放申购,开放赎回,0.00%
169,009234,鹏华优质企业混合,1.3811,1.3811,1.3734,1.3734,0.0077,0.56,开放申购,开放赎回,0.15%
170,011473,工银战略转型股票C,3.68,3.68,3.66,3.66,0.02,0.55,限大额,开放赎回,0.00%
171,011905,安信价值启航混合A,1.0315,1.0315,1.0259,1.0259,0.0056,0.55,开放申购,开放赎回,0.15%
172,006602,国融融泰灵活配置混合C,0.9847,1.0447,0.9793,1.0393,0.0054,0.55,开放申购,开放赎回,0.00%
173,006601,国融融泰灵活配置混合A,0.9840,1.0440,0.9786,1.0386,0.0054,0.55,开放申购,开放赎回,0.12%
174,000991,工银战略转型股票A,3.6940,3.6940,3.6740,3.6740,0.02,0.54,限大额,开放赎回,0.15%
175,011906,安信价值启航混合C,1.0296,1.0296,1.0241,1.0241,0.0055,0.54,开放申购,开放赎回,0.00%
176,162607,景顺长城资源垄断混合,0.5590,3.3470,0.5560,3.3440,0.0030,0.54,开放申购,开放赎回,0.15%
177,169101,东方红睿丰混合,2.1050,3.0070,2.0940,2.9960,0.0110,0.53,开放申购,开放赎回,0.15%
178,620006,金元顺安消费主题混合,1.7060,1.7060,1.6970,1.6970,0.0090,0.53,限大额,开放赎回,0.15%
179,012042,鹏华银行C,0.96,0.96,0.9550,0.9550,0.0050,0.52,开放申购,开放赎回,0.00%
180,450009,国富中小盘股票,2.7550,3.7690,2.7410,3.7550,0.0140,0.51,开放申购,开放赎回,0.15%
181,001112,东方红中国优势混合,2.3580,2.3580,2.3460,2.3460,0.0120,0.51,开放申购,开放赎回,0.15%
182,003938,南方荣尊混合A,1.3064,1.3364,1.2998,1.3298,0.0066,0.51,开放申购,开放赎回,0.06%
183,530012,建信积极配置混合,3.7830,3.8510,3.7640,3.8320,0.0190,0.50,开放申购,开放赎回,0.15%
184,004597,南方银行ETF联接A,1.3031,1.3031,1.2968,1.2968,0.0063,0.49,开放申购,开放赎回,0.12%
185,003939,南方荣尊混合C,1.2705,1.3005,1.2643,1.2943,0.0062,0.49,开放申购,开放赎回,0.00%
186,012547,南方银行ETF联接E,1.3007,1.3007,1.2945,1.2945,0.0062,0.48,开放申购,开放赎回,0.00%
187,005063,广发中证全指家用电器指数A,1.2944,1.2944,1.2882,1.2882,0.0062,0.48,开放申购,开放赎回,0.12%
188,005064,广发中证全指家用电器指数C,1.2867,1.2867,1.2805,1.2805,0.0062,0.48,开放申购,开放赎回,0.00%
189,004598,南方银行ETF联接C,1.2802,1.2802,1.2741,1.2741,0.0061,0.48,开放申购,开放赎回,0.00%
190,161029,富国中证银行指数(LOF)A,1.2640,1.35,1.2580,1.3440,0.0060,0.48,开放申购,开放赎回,0.12%
191,013330,富国中证银行指数(LOF)C,1.2630,1.2630,1.2570,1.2570,0.0060,0.48,开放申购,开放赎回,0.00%
192,001595,天弘中证银行ETF联接C,1.2457,1.2457,1.2398,1.2398,0.0059,0.48,开放申购,开放赎回,0.00%
193,007309,鹏华9-10年利率发起式债券A,1.1017,1.1287,1.0964,1.1234,0.0053,0.48,限大额,开放赎回,0.50%
194,009276,鹏华9-10年利率发起式债券C,1.0235,1.0248,1.0186,1.0199,0.0049,0.48,限大额,开放赎回,0.00%
195,001594,天弘中证银行ETF联接A,1.2643,1.2643,1.2584,1.2584,0.0059,0.47,开放申购,开放赎回,0.10%
196,008713,国泰中证全指家用电器ETF联接A,1.2414,1.2414,1.2356,1.2356,0.0058,0.47,开放申购,开放赎回,0.10%
197,007393,上银未来生活灵活配置混合,1.4173,1.4173,1.4108,1.4108,0.0065,0.46,开放申购,开放赎回,0.15%
198,001708,东兴改革精选混合,1.30,1.30,1.2940,1.2940,0.0060,0.46,开放申购,开放赎回,0.15%
199,160517,博时中证银行指数(LOF),1.2652,1.4239,1.2594,1.4173,0.0058,0.46,开放申购,开放赎回,0.10%
200,008714,国泰中证全指家用电器ETF联接C,1.2353,1.2353,1.2296,1.2296,0.0057,0.46,开放申购,开放赎回,0.00%
201,161723,招商中证银行指数A,1.1841,1.3118,1.1787,1.3064,0.0054,0.46,开放申购,开放赎回,0.10%
202,240019,华宝中证银行ETF联接A,1.1781,1.7429,1.1727,1.7375,0.0054,0.46,开放申购,开放赎回,0.10%
203,006697,华宝中证银行ETF联接C,1.1674,1.1674,1.1621,1.1621,0.0053,0.46,开放申购,开放赎回,0.00%
204,161121,易方达中证银行指数(LOF)A,1.1453,1.2615,1.14,1.2562,0.0053,0.46,开放申购,开放赎回,0.10%
205,009860,易方达中证银行指数(LOF)C,1.1407,1.1407,1.1355,1.1355,0.0052,0.46,开放申购,开放赎回,0.00%
206,007153,汇添富中证银行ETF联接A,1.0614,1.0614,1.0565,1.0565,0.0049,0.46,开放申购,开放赎回,0.10%
207,007154,汇添富中证银行ETF联接C,1.0593,1.0593,1.0544,1.0544,0.0049,0.46,开放申购,开放赎回,0.00%
